epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1078.36,1.2621,0.96315,1.19379,0.71384,0.57483,0.65377,0.38831,1.4717,1.26554,1.38084,0.0014456,0.0014456,0.0014456
44,1103.94,1.23841,0.95237,1.1774,0.72924,0.63804,0.71391,0.45213,1.32028,1.07051,1.24206,0.0014324,0.0014324,0.0014324
45,1130.29,1.2196,0.93068,1.17783,0.74486,0.64824,0.71307,0.44223,1.32578,1.13201,1.25292,0.0014192,0.0014192,0.0014192
46,1155.24,1.22091,0.93064,1.16328,0.76325,0.59016,0.69663,0.45225,1.30493,1.09176,1.25511,0.001406,0.001406,0.001406
47,1180.4,1.19967,0.91211,1.16065,0.75438,0.65255,0.73026,0.45842,1.32806,1.03791,1.25526,0.0013928,0.0013928,0.0013928
48,1205.76,1.2118,0.89308,1.15468,0.77308,0.62599,0.73358,0.46996,1.28543,1.04745,1.21055,0.0013796,0.0013796,0.0013796
49,1230.82,1.20508,0.89342,1.1541,0.76184,0.63388,0.72807,0.46391,1.30158,1.05714,1.23419,0.0013664,0.0013664,0.0013664
50,1255.11,1.17142,0.89301,1.15295,0.74123,0.63388,0.71333,0.45986,1.28745,1.05149,1.22056,0.0013532,0.0013532,0.0013532
51,1280.49,1.16166,0.88748,1.15019,0.76786,0.64465,0.7354,0.46789,1.27924,1.00659,1.23188,0.00134,0.00134,0.00134
52,1305.25,1.20856,0.91317,1.17116,0.76468,0.66762,0.75467,0.4902,1.24676,0.9944,1.21139,0.0013268,0.0013268,0.0013268
53,1330.34,1.19537,0.91041,1.1536,0.75228,0.65184,0.73299,0.46281,1.28203,1.04009,1.22141,0.0013136,0.0013136,0.0013136
54,1354.43,1.20105,0.90191,1.15867,0.80669,0.62742,0.73961,0.47695,1.29007,1.01657,1.24839,0.0013004,0.0013004,0.0013004
55,1380.24,1.20939,0.8904,1.14428,0.75508,0.65973,0.73477,0.46818,1.31295,1.02772,1.25523,0.0012872,0.0012872,0.0012872
56,1405.32,1.1677,0.85629,1.14967,0.77618,0.62736,0.73459,0.47257,1.24145,1.00079,1.20457,0.001274,0.001274,0.001274
57,1429.84,1.1548,0.85528,1.13317,0.76617,0.64215,0.72515,0.46308,1.27605,1.0255,1.23221,0.0012608,0.0012608,0.0012608
58,1454.14,1.19034,0.86637,1.13328,0.75053,0.66116,0.74083,0.4831,1.25099,1.01092,1.20275,0.0012476,0.0012476,0.0012476
59,1479.15,1.15688,0.83832,1.13626,0.74167,0.68013,0.74514,0.47848,1.27583,0.99607,1.23573,0.0012344,0.0012344,0.0012344
60,1504.08,1.1627,0.8437,1.13722,0.77898,0.65039,0.73737,0.47301,1.28128,0.99985,1.22787,0.0012212,0.0012212,0.0012212
61,1529.36,1.17904,0.85774,1.13687,0.76759,0.65614,0.73534,0.47972,1.2693,1.00948,1.20829,0.001208,0.001208,0.001208
62,1554.57,1.14969,0.84663,1.13856,0.78743,0.64465,0.74171,0.48266,1.26924,0.9805,1.22321,0.0011948,0.0011948,0.0011948
